Date,return,port_value,cash,n_held,year,config,side,schema,window
2022-09-26,-0.02168849994092808,1153252.1143324026,9482.665791168838,5,2022,Q75,long,26f,0
2022-09-27,-0.0002640234080355989,1152947.6287788523,14780.047752181967,5,2022,Q75,long,26f,0
2022-09-28,-0.015031187490386061,1135617.4568040813,14780.047752181967,5,2022,Q75,long,26f,0
2022-09-29,-0.028408503428808855,1103356.2643886474,14780.047752181967,5,2022,Q75,long,26f,0
2022-09-30,-0.012337474220730142,1089743.6349204713,14780.047752181967,5,2022,Q75,long,26f,0
2022-10-03,-0.04723240526015588,1038272.4219262323,14780.047752181967,5,2022,Q75,long,26f,0
2022-10-04,-0.020883787432089008,1016589.3613701246,9913.855102211885,5,2022,Q75,long,26f,0
2022-10-05,0.03569671106616674,1052878.258075893,9913.855102211885,5,2022,Q75,long,26f,0
2022-10-06,-0.04089053445816053,1009825.5033837926,9913.855102211885,5,2022,Q75,long,26f,0
2022-10-07,-0.04046156308920063,968966.3850695455,9913.855102211885,5,2022,Q75,long,26f,0
2022-10-10,0.02379234323347132,992020.365884816,9913.855102211885,5,2022,Q75,long,26f,0
2022-10-11,-0.04168367790575635,950669.3084773228,8585.523150263441,5,2022,Q75,long,26f,0
2022-10-12,0.04010123826650821,988792.3249292285,8585.523150263441,5,2022,Q75,long,26f,0
2022-10-13,0.023665295286131642,1012192.3872753393,8585.523150263441,5,2022,Q75,long,26f,0
2022-10-14,0.010176663638526061,1022493.1287381172,8585.523150263441,5,2022,Q75,long,26f,0
2022-10-17,-0.00018918827263863602,1022299.6850293063,8585.523150263441,5,2022,Q75,long,26f,0
2022-10-18,0.016363969643838794,1039028.5660420319,8843.493119211984,5,2022,Q75,long,26f,0
2022-10-19,-0.008454902484984839,1030243.6808370329,8843.493119211984,5,2022,Q75,long,26f,0
2022-10-20,-0.0035511783994929473,1026585.1017314303,8843.493119211984,5,2022,Q75,long,26f,0
2022-10-21,-0.04630548604587012,979048.5796283074,8843.493119211984,5,2022,Q75,long,26f,0
2022-10-24,-0.03883746673617267,941024.8129838959,8843.493119211984,5,2022,Q75,long,26f,0
2022-10-25,-0.016960895703754204,925064.1892762312,43951.454255828794,5,2022,Q75,long,26f,0
2022-10-26,-0.011280747573171887,914628.7736680252,43951.454255828794,5,2022,Q75,long,26f,0
2022-10-27,0.025513911469432396,937964.5312267867,43951.454255828794,5,2022,Q75,long,26f,0
2022-10-28,0.018150437143209176,954988.9974933781,43951.454255828794,5,2022,Q75,long,26f,0
2022-10-31,0.0007559139965527255,955710.8870431372,43951.454255828794,5,2022,Q75,long,26f,0
2022-11-01,0.0028230627532524586,958408.9188512266,8471.287719891872,5,2022,Q75,long,26f,0
2022-11-02,0.016831636743669776,974540.5096252237,8471.287719891872,5,2022,Q75,long,26f,0
2022-11-03,-0.004156936271011149,970489.4068331929,8471.287719891872,5,2022,Q75,long,26f,0
2022-11-04,-0.04316919973580822,928594.1557881248,8471.287719891872,5,2022,Q75,long,26f,0
2022-11-07,-0.043650442453436904,888060.6100282974,8471.287719891872,5,2022,Q75,long,26f,0
2022-11-08,-0.008257001749810993,880727.8920173555,7941.890157539463,5,2022,Q75,long,26f,0
2022-11-09,-0.024722947618305985,858953.7024770294,7941.890157539463,5,2022,Q75,long,26f,0
2022-11-10,-0.026148915288108542,836492.9948745504,7941.890157539463,5,2022,Q75,long,26f,0
2022-11-11,0.017774292511404614,851361.0660491915,7941.890157539463,5,2022,Q75,long,26f,0
2022-11-14,-0.0012570945086481287,850290.8247281843,7941.890157539463,5,2022,Q75,long,26f,0
2022-11-15,-0.036703407782911084,819082.2538541179,7087.367353453679,5,2022,Q75,long,26f,0
2022-11-16,0.024021222775983276,838757.6111458022,7087.367353453679,5,2022,Q75,long,26f,0
2022-11-17,0.01786171839455344,853739.2633973769,7087.367353453679,5,2022,Q75,long,26f,0
2022-11-18,0.00031945141126493503,854011.9916099214,7087.367353453679,5,2022,Q75,long,26f,0
2022-11-21,-0.012125388300356943,843656.76459849,7087.367353453679,5,2022,Q75,long,26f,0
2022-11-22,-0.006088346184132257,838520.2901550294,7690.693721981301,5,2022,Q75,long,26f,0
2022-11-23,-0.007162695987192937,832514.2242375561,7690.693721981301,5,2022,Q75,long,26f,0
2022-11-24,-0.03058839330791952,807048.9517121402,7690.693721981301,5,2022,Q75,long,26f,0
2022-11-25,-0.013041111619388571,796524.1362505517,7690.693721981301,5,2022,Q75,long,26f,0
2022-11-28,0.01742360035274522,810402.4544718969,7690.693721981301,5,2022,Q75,long,26f,0
2022-11-29,0.03563961100600532,839284.8827075872,22452.712158154132,5,2022,Q75,long,26f,0
2022-11-30,0.037431346501794145,870700.4459659326,22452.712158154132,5,2022,Q75,long,26f,0
2022-12-01,0.008598400261671057,878187.0769083631,22452.712158154132,5,2022,Q75,long,26f,0
