Date,index_code,fgn_buy,fgn_sell,total_value
2016-09-28,VNINDEX,502320504000.0,538867282000.0,2812306075200.0
2016-09-28,VNMID,255923805000.0,269925735000.0,866094000000.0
2016-09-28,VNSML,7650322000.0,5627694000.0,376657000000.0
2016-09-29,VN30,269612955000.0,242121892000.0,1644676000000.0
2016-09-29,VNINDEX,316753200000.0,282008706000.0,2846712431300.0
2016-09-29,VNMID,39421003000.0,36187642000.0,750844000000.0
2016-09-29,VNSML,9838607000.0,4258516000.0,365759000000.0
2016-09-30,VN30,218575223000.0,180475965000.0,1432682000000.0
2016-09-30,VNINDEX,292483092000.0,229533011000.0,2560408260000.0
2016-09-30,VNMID,66791766000.0,49945451000.0,721633000000.0
2016-09-30,VNSML,9811990000.0,2738235000.0,336119000000.0
2016-10-03,VN30,163702428000.0,299419814000.0,1611543000000.0
2016-10-03,VNINDEX,187347557000.0,339987581000.0,2688775384500.0
2016-10-03,VNMID,17087282000.0,33818883000.0,629521000000.0
2016-10-03,VNSML,6978612000.0,8499925000.0,364424000000.0
2016-10-04,VN30,198631799000.0,203939851000.0,1748746000000.0
2016-10-04,VNINDEX,302964592000.0,364861312000.0,3033646375800.0
2016-10-04,VNMID,64040967000.0,142739323000.0,751182000000.0
2016-10-04,VNSML,23016061000.0,20987173000.0,445380000000.0
2016-10-05,VN30,177084620000.0,136771414000.0,1212841000000.0
2016-10-05,VNINDEX,254958982000.0,252060749000.0,2193200649300.0
2016-10-05,VNMID,76149658000.0,107864408000.0,566931000000.0
2016-10-05,VNSML,19664898000.0,33173937000.0,308787000000.0
2016-10-06,VN30,237213211000.0,161563412000.0,1698591000000.0
2016-10-06,VNINDEX,314242749000.0,242613900000.0,2765627775100.0
2016-10-06,VNMID,64919751000.0,77889091000.0,676542000000.0
2016-10-06,VNSML,35068886000.0,27956252000.0,308711000000.0
2016-10-07,VN30,172396925000.0,183900337000.0,1552162000000.0
2016-10-07,VNINDEX,238191797000.0,368222286000.0,2788236541000.0
2016-10-07,VNMID,49941914000.0,183351852000.0,802523000000.0
2016-10-07,VNSML,17716952000.0,3142085000.0,334927000000.0
2016-10-10,VN30,130483341000.0,163598179000.0,1246906000000.0
2016-10-10,VNINDEX,191321970000.0,222827429000.0,2330199778300.0
